"region","2016, I квартал","2016, II квартал","2016, III квартал","2016, IV квартал","2017, I квартал","2017, II квартал","2017, III квартал","2017, IV квартал","2018, I квартал","2018, II квартал","2018, III квартал","2018, IV квартал","2019, I квартал","2019, II квартал","2019, III квартал","2019, IV квартал","2020, I квартал","2020, II квартал","2020, III квартал","2020, IV квартал","2021, I квартал","2021, II квартал","2021, III квартал","2021, IV квартал","2022, I квартал","2022, II квартал","2022, III квартал","2022, IV квартал","2023, I квартал","2023, II квартал","2023, III квартал","2023, IV квартал","2024, I квартал"
"Северо-Западный федеральный округ","249447.4","590298.9","972095.6","1742374.3","241625.2","675417.7","1096334.9","1883299.6","282903.4","763401.5","1347661","2308913.8","317238.4","760930.2","1277812.7","2082965.3","290479.6","736092.5","1296203.8","2175746.9","337060.9","834445.9","1443542.7","2381045.6","391211.6","979841.1","1594925.2","2690757.7","461097.9","1090375.9","1862645.7","3074201.9","602983.2"
"Республика Карелия","3908.3","10430","20725.5","34700","4697.2","13260.1","21324.3","41567.8","6784.4","17158.3","29076.7","48116.4","5115.5","16504.8","29438.5","48259.8","6228.3","17405.9","30696.7","55610","9222.1","24212","43450.9","78686.9","13606.7","32231.4","54330.2","96501.2","11751.3","29785.6","55565.1","103608.7","13233.1"
"Республика Коми","49968.2","91676.9","129600.9","200261","24952.2","57014.5","87735.3","134151.8","21562.8","55681.3","87206.7","136473.7","22978.3","53737.6","81822.2","121578.3","20408.4","52601.5","82432.5","140129","20426.3","49150.9","78386.1","127664.7","20879.7","45119.4","75239","119998.4","19834.4","48434.7","80215.4","128590","26546.8"
"Архангельская область","24264.1","62947.7","103884.4","169432.1","26986.8","76306.8","122881","215493.3","34627.6","78958.5","125409.7","198357.4","28258.5","72409.1","115873.2","193157.5","33687.6","78094.5","130121.2","197761.4","37552.1","79948.2","126820.6","180642.7","33100.6","90087.2","130814.4","194811.6","42437.3","92502.2","138301.4","205950.8","37822.3"
"Ненецкий авт. округ","17988.9","41420.7","62391","85702.6","17086.5","48675","69305.7","106578.2","18208.2","40968.5","63273.6","91041.2","20280.4","43957","66178.1","97035.3","19087.6","42297.4","66313.7","89613.1","20727.9","42278.8","57618.9","74829.8","17662.4","41384.6","60171.5","85906.7","20087","40988.9","61304.4","86250.7","23092.4"
"Архангельская область без авт. округа","6275.2","21527","41493.5","83729.5","9900.4","27631.8","53575.4","108915.1","16419.4","37989.9","62136.1","107316.2","7978.1","28452.1","49695.1","96122.2","14600","35797.1","63807.5","108148.2","16824.2","37669.4","69201.6","105812.9","15438.1","48702.6","70642.9","108904.9","22350.3","51513.2","76997","119700.1","14730"
"Вологодская область","13347","36005.4","63063.1","114155.4","27699.1","59278.4","90792.1","138282","14115.4","44494.1","81470.2","153427.9","34676.2","75729.6","128142.4","199288.4","28903.7","78393.4","130378.5","207940.1","33738.8","81759.8","132885.5","206986.8","31001.2","77415.4","118925.5","175148","28150.2","62906.4","102163.4","168814.9","31871.6"
"Калининградская область","8581","23722.3","42724.8","89462.3","18067","50259.5","81309.2","130397.8","15348.5","58995.9","96567.7","159880.4","14602.7","30422.3","57092.6","101407.8","13497.7","33191","63505.4","110636.5","11150.7","31099.1","60663.7","102299.6","14691.3","41870.2","75537.8","122427.5","25244.8","66019.9","119561.8","195973.2","24724.8"
"Ленинградская область","30790.6","87442.1","149531.4","264212.8","36131.1","104003.5","179304.8","337673.8","53186.2","161092.8","274624.8","511164.2","76928.7","166068.1","282958.4","420872.2","40521.2","115097.6","211969.1","405306.6","55724.2","141254.4","254861.8","431976","79421.5","227485.8","367034.9","567274.4","111076.4","252411.9","423490.8","685583.7","171870"
"Мурманская область","13465.9","27506.8","48203.1","85494.6","15291.4","38624.8","58673.5","113269.3","14795.7","40649.2","87839.7","155744.2","18964.9","61337.1","97046","170855.5","36181","76245.9","124896","204412.5","32417.8","90978.8","162873.1","261433.5","41392","103084.5","163195.1","263643.2","33788.7","80354.3","174595.5","266940","37269.1"
"Новгородская область","17504.8","37549.4","60447.1","78742.1","9066.5","22737","44057.3","70831.6","9167.9","25842.5","40609.6","61529.7","7573.8","19831.5","36175","49827.8","7305.7","18514.5","32675.5","50039.1","7712.8","15895.9","28358.7","47029.3","8161.1","19390","33389.5","57949.9","12308.9","27155.3","50957.5","75543.6","11255.4"
"Псковская область","3284.2","7911.4","13233.8","27271.8","3429.1","8727.6","15322.7","29266.9","3287.8","11005.4","18219.6","31297.1","3966.4","11897.8","20665.7","33623.3","3466.4","10873.4","21047","38418.1","4472.6","21540.4","30663.6","47610.4","7191","15518.7","25144.2","42880.4","6071.1","16090.5","27468.1","47602","9489.1"
"г. Санкт-Петербург","84333.3","205107","340681.4","678642.2","75304.9","245205.3","394934.8","672365.2","110027.1","269523.6","506636.2","852922.9","104173.3","252992.2","428598.6","744094.8","100279.7","255674.8","468482","765493.5","124643.5","298606.4","524578.8","896715.8","141766.6","327638.4","551314.7","1050123.2","170434.7","414715.3","690326.5","1195595.1","238901"
"Южный федеральный округ","133412.9","356860.2","652889.4","1152832.3","177876.8","480273.3","854260.9","1443288.4","181561.2","542324.6","875005.4","1455803.3","166451.4","451774.4","795403.4","1378094.3","212481.5","500084","846776.2","1447345.4","199563.6","521821.9","882145.7","1512268.7","260191.8","659423.2","1129917.6","1912638.9","325025.1","810715.9","1325181","2284044.5","437104.5"
"Республика Адыгея","1836.3","6504","10118.6","19133.7","1980.2","7149.7","11193.6","20844.7","2448","6823.8","12821.5","30600.1","4950.9","18320.8","31604","43352.6","9936.3","18233.3","26846.4","40435.5","5510.9","11369.8","20052.3","35878.1","4339.1","11524.2","27154.1","46656.5","6258.6","15326.1","27507.3","61644.9","15838.6"
"Республика Калмыкия","1356.3","3189.2","5428","9138.9","1459","3726","6509.3","11222.9","1155.3","2546.6","6857.3","12422.7","649.9","2599.5","5468.4","15850.5","1037.9","7688.4","12339.9","38269.1","985.3","2275.1","4281.4","17841.6","1897.3","8174.1","11273.3","15816.4","1948.9","4634.4","7803.4","13829","3847.3"
"Республика Крым","4506.4","14999.3","26146.1","74795.3","21777.4","59642.7","118893","196193","29345.9","123015.6","195342.8","296423.1","26407.6","79894.2","133157","223793.3","27264.2","63943.3","112032.1","196500.7","20485.7","47007.5","85903.6","164060.3","27463.1","81334.6","133280.9","214575.2","33536","89233.8","162820.1","271312.7","37963.7"
"Краснодарский край","53318.7","143444.5","255180.8","435095.3","67937.8","166070.2","312877.1","503243","70083.1","195820.4","304036.9","515316.8","60182","162873.6","282282.5","477635.3","72027.5","172053.5","294871.4","518216.9","73733.8","187127.5","324540.6","558589.6","110699.7","258299.3","453341.6","753059.1","124237.9","312131.7","510867","860630.7","172529.8"
"Астраханская область","15325.2","38118.8","78263","117999.3","16279.3","40331.5","67610.2","146660","18214.3","45149.5","71643","110279.5","16684.8","37123.8","65175.1","104280.2","16001.1","40636","71947.6","115116.1","21018.1","41805.2","72293","115484","13889","31184.8","49616.1","87352.4","15103.8","31608.3","53070.2","87490.2","17570.1"
"Волгоградская область","29773.6","78811.2","120308.9","183642.1","27031.1","70165.8","119435.2","191709.7","23619.5","64450","101618.6","183096.5","21607","55900","100045.4","186267.5","25793.1","66769.5","119453.4","182930.1","23078.4","64768.3","112041.8","186115.9","27049.8","69933.7","126892.4","219917.4","43231.3","96092.6","168974.7","291396.8","58521.1"
"Ростовская область","31802.8","86792.5","150531.8","294480.7","37896.7","115957.4","195313.7","323903.2","32843.9","95618.2","156538.4","264870.6","33018.5","86595.4","160906.9","284152.3","58444.9","123915","195290.7","328055.2","50006.7","152382.5","239795.7","393753.2","60729.3","174176.1","289333.6","470545.9","93726.4","246603.8","367836.3","643710.5","124380.7"
