"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Свердловская область","4545.9","4514.1","4477.5","4434.2","4394.1","4356.4","4330.6","4320.1","4314.3","4308.5","4297.3","4307.5","4315.7","4320.5","4327.2","4329.7","4328.9","4324.8","4315.2","4310.1","4289.5","4263.7","4239.2","4222.7"
"Тюменская область","3234.3","3251.5","3269.9","3281.7","3288.3","3293.8","3306.7","3330.6","3351.7","3378.8","3405.3","3461.1","3514","3551.2","3587.6","3623.5","3669.9","3704.6","3738.5","3773.2","3796.4","3827.7","3851.2","3890.8"
"Ханты-Мансийский авт. округ - Югра","1383.4","1411.9","1437.7","1453.5","1462.2","1467.8","1475.2","1491.2","1504.3","1521.2","1537.2","1562.2","1586","1600.3","1616.2","1632","1652.4","1662.5","1672.3","1684.2","1698.2","1713.8","1730.4","1759.4"
"Ямало-Ненецкий авт. округ","498.3","503.1","508.6","510.8","514.6","517.4","521.6","524","523","524.1","524.9","532.9","534.1","528.1","524.2","514.3","512.5","511.2","510.6","510.1","508.8","511.2","512.4","516"
"Тюменская область без авт. округов","1352.6","1336.5","1323.6","1317.4","1311.5","1308.6","1309.9","1315.4","1324.4","1333.5","1343.2","1366","1393.9","1422.8","1447.2","1477.2","1505","1530.9","1555.6","1578.9","1589.4","1602.7","1608.5","1615.5"
"Челябинская область","3644","3621.4","3597.7","3569.3","3541.8","3516.7","3497","3489.1","3484.8","3481.8","3475.6","3480.3","3485.7","3490.8","3498.2","3502","3503.9","3494.8","3477.9","3468.8","3445.5","3421.6","3407.1","3395.8"
"Сибирский федеральный округ","18157.3","18025.4","17898.7","2874.1","2855.8","2839.4","2826.9","2823.4","2820.6","2818.3","2807.7","17177.8","17186.8","17192.1","17197.5","17198.3","17190.6","17145.9","17077.3","17010.3","16884.5","16758.5","16645.8","16567.1"
"Республика Алтай","203","202.9","203","202.5","202.3","201.7","201.8","203.1","204.7","205.4","206.5","207.4","208.3","208.6","209.7","210.1","211","211.1","210.9","211.3","211.1","210.8","210.8","210.8"
"Республика Тыва","305.7","305.2","305.5","305","304.1","302.9","302.4","303.8","305.3","307.3","308.1","309.6","311.2","312.7","315.1","317.2","320.4","323.9","326.9","330.1","333.7","336.3","337.3","337.5"
"Республика Хакасия","554.4","549.5","545.2","541.4","538","533.8","531.1","531.3","531.9","532.7","532.3","532.5","533.7","535.2","537.3","538.9","540.1","540.5","539.7","538.2","536.3","533","530.2","528.2"
"Алтайский край","2641.1","2621.1","2602.6","2572","2539.4","2503.5","2473","2453.5","2438.9","2430.7","2417.3","2396.8","2378","2359.5","2343.4","2325","2303.6","2277.7","2250.1","2224.1","2193","2154.9","2131","2115.3"
"Красноярский край","3000.9","2981.8","2961.9","2931.9","2901.9","2869.3","2845.4","2837","2832.6","2832.9","2829.1","2839","2847.7","2854.7","2861.3","2869.7","2879.2","2881","2879.2","2872.1","2862.4","2856.3","2845.5","2846.1"
"Иркутская область","2623.2","2599.6","2577.7","2552.3","2524.1","2492.2","2467.4","2455.4","2448.3","2440.4","2428","2425","2423.2","2420.1","2417.2","2415.7","2412.4","2408.2","2402.4","2396.4","2380.8","2363.4","2344.4","2330.5"
"Кемеровская область","2942.3","2917.8","2893.4","2862.1","2833","2805.9","2786","2780.2","2776.4","2773","2761.3","2749.7","2740.2","2730.8","2720.3","2711.9","2702","2687","2665.3","2647.7","2622.3","2592","2568.2","2547.7"
"Новосибирская область","2715.1","2703","2688.5","2674.2","2666","2654.9","2647.2","2642.7","2648.9","2661.6","2666.5","2688.3","2712.5","2735.8","2753","2770","2788.9","2799.7","2805.8","2812.2","2801.4","2797.5","2794.3","2789.5"
"Омская область","2117.3","2094.7","2075.4","2052.7","2034.1","2016.3","2003.3","1993.3","1987.7","1984","1976.6","1972.3","1968.8","1966.1","1967.8","1965.5","1957.1","1942","1923.6","1903.6","1878.1","1851.5","1832.1","1818.1"
"Томская область","1054.3","1049.8","1045.5","1037.9","1029.9","1024.3","1023.1","1026.3","1031.5","1040.3","1048.5","1057.2","1063.2","1068.6","1072.4","1074.3","1075.9","1074.8","1073.4","1074.7","1065.3","1062.7","1052.1","1043.4"
"Дальневосточный федеральный округ","9007.7","8895.7","8811.9","8725.6","8641.4","8550.6","8478.2","8444.9","8414.7","8398.4","8362.6","8324.6","8294.5","8255","8228.6","8200.4","8175.1","8141","8096.4","8066.6","8009.9","7966.6","7903.9","7866.3"
"Республика Бурятия","996.9","987.3","979.6","974.6","971","966.9","964.6","965.2","966.6","969.7","971.5","971.3","971.2","972.8","976.9","980.1","981.6","981.3","979.5","982.1","981","978","974.6","971.9"
"Республика Саха (Якутия)","957.5","951.5","948.6","950","953.2","954.4","956.1","958.9","958.1","958.3","958.2","956.3","956.4","956.2","959","962.5","966.3","968.1","971.4","976.7","987.3","997.8","997.6","1001.7"
"Забайкальский край","1178.8","1165.4","1152.6","1142.7","1132.8","1123.3","1115.1","1111.4","1109.2","1109","1106.2","1095.5","1087.4","1078.8","1072.1","1063.9","1056","1046","1035.1","1025.1","1014.7","1000.5","992.4","984.4"
"Камчатский край","366.4","361.7","357.9","350.5","343.9","336.6","330.8","327.9","325.2","323.1","321.7","318.3","316.8","314.3","309.8","306.8","303.5","302.5","299.9","296.4","293.3","292.6","288.7","288.9"
"Приморский край","2120.5","2085.7","2067.4","2048.6","2028.4","2006.5","1988.6","1977.4","1969.6","1965.2","1953.5","1948.4","1943.3","1932.6","1925","1918.5","1910.4","1898.5","1886.3","1877.7","1858.2","1842","1820.1","1806.4"
"Хабаровский край","1459.9","1446.1","1434.2","1416.2","1396.8","1376.3","1359.9","1354.9","1351.1","1349.2","1342.9","1341.6","1340.5","1337.5","1335.2","1331","1329.1","1323.6","1316.7","1310.4","1295.1","1292.8","1284.1","1278.1"
"Амурская область","923","911.4","901","887.8","874","861","850.5","844.3","838.9","834.9","828.7","820.6","815.2","808.7","806.5","801.5","796.8","792.7","786.6","782.7","773.7","763.6","756.2","750.1"
"Магаданская область","193.9","187.2","181.8","178.1","173.9","170.4","166.9","164","160.9","159","156.5","154.3","152","149.8","147.4","145.5","144.6","142.9","139.9","138.6","137.3","135.9","134.3","133.4"
"Сахалинская область","560.1","552.2","545","536.8","529.8","521.1","513.4","509.4","504.9","501.3","496.7","493.7","489.7","485.4","480.6","477.5","476.6","478.3","476.2","473.7","469.3","466","460.5","457.6"
"Еврейская авт. область","193.2","191.9","190.6","188.4","185.8","181.7","179.4","178.7","178.1","177.5","176.3","173.9","171.7","169","166.4","163.9","161.6","159.1","156.7","154.7","152.6","149.6","147.5","145.8"
"Чукотский авт. округ","57.5","55.3","53.2","51.9","51.8","52.4","52.9","52.8","52.1","51.2","50.4","50.7","50.3","49.9","49.7","49.2","48.6","48","48.1","48.5","47.6","47.9","47.8","48"
