"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Челябинская область","12302","15873.3","17817.9","22398.2","25185.5","34895.1","45388.1","48670.1","61001.6","59346.9","58435.1","80004.1","66345.8","75489.5","91756.3","111353.4","117485.5","125859.4","119417","122501","113527","124170","147019"
"Сибирский федеральный округ","109604.1","136202","137502.5","154333","179336.3","185004.3","212383.2","252631.8","308986.4","323589","337212.7","382371","362497.9","424707","449792.7","520458.6","554764.9","539652.4","556883","591447","673000","869196","911989"
"Республика Алтай","1435.5","1835.9","2327.4","2697","2870.6","3057.3","3632","4485","4831.1","5192.2","6080.4","7580.7","8601.7","8007.9","8674.8","9521.9","11087.7","10932.7","11700","10646","11930","13129","12624"
"Республика Тыва","1261.5","1555.9","1601.5","1871.9","2071.9","2260.8","2563.9","2876.1","3897.9","3979.4","4183.6","4536.1","4685.6","5185.1","5178.8","5422.1","5594.7","5714","6141","6388","8071","8451","8624"
"Республика Хакасия","3090.1","3418.3","3305","3622","3844.6","4008.3","4806","5562.9","6049.6","6617.5","7034","8747.8","9257.1","10499","11381.8","12216.6","13986.4","14870.4","13824","13626","14239","14892","18149"
"Алтайский край","24042.4","30758.5","30520.8","35249.4","41466.5","39838.9","46439.9","56142.3","66992.4","72625.7","78562.6","87685","85050.9","102220","98774","123740.7","143325.3","125999.3","131825","144540","163230","241625","249362"
"Красноярский край","20406.9","21977.3","23150.6","24374","29730.2","31037.4","35359.2","42733.2","53634.4","53517.8","56408","61213.7","56614.7","61183.1","66302.4","76204.2","80982.7","71934.7","77914","84865","105973","122139","130503"
"Иркутская область","10006.1","14543.9","14894.1","15568.4","17824.9","19670.4","21925.7","25942.8","29996.7","33196.1","35119.9","40990.2","44079.1","46630","51765.4","53600.8","58721.7","61900.4","63549","62154","67043","74737","80457"
"Кемеровская область","9146.6","10189.3","11265.2","13161.4","15256.9","16148.1","20040","24295.2","31905.7","30805.3","31881.3","35427.7","33597.5","39378.8","43163.2","48463.6","48596.1","48027.9","46912","47807","60589","80285","84747"
"Новосибирская область","19663.6","23338","22876.3","25198.2","26569.7","27027.4","29596.2","33995.4","43121.8","46560.1","47694.5","55335.7","50352.4","59469.8","63759.1","75228.6","78482.8","81100.6","80192","92988","106302","148713","155360"
"Омская область","15461.7","23051.4","21487.4","25277","31167.9","32861.1","37783.4","44701.5","52795.8","55822.2","52962.5","62820.5","52063.4","71117.2","77548.3","89527.3","88002.2","90419","94097","98012","101067","126084","127816"
"Томская область","5089.6","5533.3","6074.3","7313.6","8533.1","9094.6","10236.9","11897.4","15761","15272.7","17285.9","18033.6","18195.5","21016.1","23244.9","26532.8","25985.3","28753.4","30728","30422","34556","39141","44348"
"Дальневосточный федеральный округ","35101.1","42620.2","46397.7","49184.3","56250.6","63769","72606.2","79114.2","90760.2","105570.9","114219.2","131413.4","134455.8","131172.6","165685.6","180454.1","187830.5","199641.8","198823","192651","216095","262573","294358"
"Республика Бурятия","4481.7","5164.2","5638.1","6344.7","7471.4","8036.6","8993.5","9313.8","10187.8","10184.5","10219.2","12458.2","12672.2","13261.4","15527.9","16034.1","15598.6","15012.5","16214","16493","17054","19189","20674"
"Республика Саха (Якутия)","5441.1","7209.2","8140.2","9103.1","10755.4","12200.3","13143.5","13444.9","15024.7","15899.5","17064.1","17464.9","18226.5","19443.4","20255","20722.7","21930","24972.3","25781","26121","26512","28020","31101"
"Забайкальский край","5712.1","5846.9","6616.7","6812.6","7078.4","8427","9389.2","10437.4","11960.7","13003.1","13527.8","15189.6","17102.1","17788.9","18705","19519","21463.6","22511.5","22904","22510","23168","24452","27899"
"Камчатский край","1556.5","1603.2","1779.8","1914.8","1948.8","2183.5","2628.6","2708.8","2978.9","3899.2","4085.1","4668.4","4749.6","5225.9","6852.8","6721.3","7378.3","7915.5","8249","10129","10011","10907","10961"
"Приморский край","5034.6","6257.3","6217.9","7210.1","8347.1","9476.2","11923.1","12070.8","15368.3","19183","20546.9","24834.4","26091.7","26690.9","34696.9","37482.2","39389.8","42393.1","39963","38140","44560","62644","69552"
"Хабаровский край","3590.9","4685.6","5268.7","6043","6364.7","7477.7","7928.3","8968.9","9655.8","12609.5","14838.8","15017.8","15345.6","15264.7","16709","17439.1","16346.9","16701.7","17099","14586","18175","18393","18990"
"Амурская область","6200.5","7509.3","8287.5","6244.1","8495.7","8705","9999.8","12296.2","14496.1","19394.7","19851","26487.4","26499.8","20733.3","37047.6","43566.6","47012.3","50419.9","47637","44736","53896","74447","85919"
"Магаданская область","404.8","458.8","644.3","812","722.2","713.5","849.4","965.6","1240","1460.8","1484.8","1518.2","1694.4","1414.9","1700.3","1981.2","2259.3","2520.5","2723","2787","2797","2258","3005"
"Сахалинская область","1732.3","2614.9","2364.8","2862.5","2792","3499.1","4224.4","4790.7","5052","5036.8","6836.1","7182.1","6825.7","7587.8","8550.8","10840.3","10388.1","10525.6","11147","12157","13914","15149","17335"
"Еврейская авт. область","874.5","1176.3","1305.9","1626","2033.9","2757.6","3091.2","3650.5","4299.3","4300.6","5142.2","5750.8","4558.4","3123.2","4779.9","5750.9","5485.9","5216.3","5772","3344","4398","5476","7037"
"Чукотский авт. округ","72.1","94.3","133.9","211.3","241","293","435.2","466.6","496.6","599.2","623.2","841.6","689.8","638.2","860.4","396.7","577.7","1452.9","1334","1649","1610","1640","1885"
