"region","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Алтайский край","46736.8","61854.4","73107.4","88733.3","114840.5","135686.4","173810.5","223563.4","259343.1","265613.3","302900.7","332117.8","368995.2","416110.3","446023.8","487903.3","532401.5","545303","579740.5","628146.1","664129.2","845429.6"
"Красноярский край","214662.7","239420","230994.9","272727","365454.1","439736.9","585881.9","734154.8","737950.5","749194.8","1055525","1170827.2","1183228","1256934.1","1410719.9","1667041.1","1821899.9","1977016.1","2374750","2696159","2725096.8","3064831.5"
"Иркутская область","103013.8","120240","140195.9","167927.1","213244.2","258095.5","330834.3","402654.7","438852.4","458774.9","546141","634561.4","737971.6","805197.5","916317.5","1001717.6","1139206.8","1268311.8","1460512.2","1540237.8","1494326.6","1924360.8"
"Кемеровская область","88728.1","113800.2","136156.7","164903.1","244462","295378.4","342210.6","437790.2","575901.9","512408","625914.9","751198.4","718320.4","667950.5","752024","843345.4","903348.9","1097861","1266424.5","1110194.8","1045077.1","1807387.1"
"Новосибирская область","72012.7","95298.9","123084.5","153798.9","191826.7","235381.8","296064.5","365531.2","453574.6","425400.2","484141.3","598563.5","728154","817516.7","911219","1021642.9","1074794.8","1179564.2","1301631.1","1332895.8","1358350.1","1617011.1"
"Омская область","46028.4","61535.7","92628.7","115029.5","192877.3","220686.1","262506.7","296004.7","347760.3","336259.6","382620.4","451418.8","491507.6","551734","602605.1","618127.7","669480.4","699716.5","736076.8","772095.9","770280.4","854132.5"
"Томская область","40539.5","57041.1","75547","97084.3","132439.3","159578.5","188800.7","214487","248906.2","245808.3","284676.7","333885.7","371472.9","402562.1","430266.8","471456.7","521043.5","554393.9","612431.7","617903.6","553211.6","706391.5"
"Дальневосточный федеральный округ","360400.6","456964","553546.2","666492.8","803628.7","970981.7","1181517.6","1495391.1","1799908.4","2000294.8","2410988.8","2890065.2","3090998.5","3239564","3634851.5","4033862.5","4481568","4679281","5597118","5970632.5","6037509.5","7373575"
"Республика Бурятия","21574.5","30075.1","37884.5","52253.7","63918.5","74912.9","91712.4","107442","124738.5","121187.7","133525.6","153624.1","164737.8","176888.9","186492.9","202823.4","220764.6","224594.1","258578.6","285490.6","302800.4","342184.8"
"Республика Саха (Якутия)","81960.4","100922.4","115117.1","132964.1","153496.7","183027","206845","242656.5","309518.3","328201.7","386825.1","486830.9","541306.8","570284.7","658140.4","747601.7","889449.3","942029.6","1126774.8","1227680.2","1133688.2","1615527.1"
"Забайкальский край","30024.6","35139.2","44555.8","53145.5","61261.8","69647.1","90732.1","110822.4","140302","148587.9","166742.5","203869","223968.8","229239.4","234840.8","247666.2","279140.7","306596.5","339838.9","369476.5","422734.5","487422.9"
"Камчатский край","18140.7","23031.7","25881.9","29747","35139.3","43974.3","56119.8","66076.8","77854.3","94643.2","103123.2","114375.9","127412.7","133364","145761.3","175404.8","224091","228167.2","263151.3","279337.8","296429.4","337504.9"
"Приморский край","62088.5","72826.1","96832.3","119333.7","152301.1","186623.3","215934.4","259041.4","316581.9","368996.7","470679.2","549722.8","557489.3","577473.9","642423","717609.9","860803.6","906265","965485.2","1069330.8","1105672.6","1308884.1"
"Хабаровский край","64794.8","79891.5","101048.6","116318.1","133330.5","161194.4","194259.6","231293.2","269178.6","276895.4","353590.3","399594.2","437994.3","498067.2","539338.4","595792.3","672660.4","697951","761589.2","805215.6","856904.8","987186.5"
"Амурская область","26315.2","39052.8","45717.5","53199.9","64250.2","76861.2","95090.9","111761.2","131563.7","151118.6","178689.6","225401.7","229407.1","210700.9","232053","277380.5","297531","299181","334164.4","395617.2","449317.5","530947.8"
"Магаданская область","13009.5","17151.6","22374.8","24325.9","24612.3","27167.8","31203.2","35314.4","42053.8","47895.9","59619.7","72174.2","78417.9","88905.9","96936.8","125798.3","153879.8","161851.2","176370.6","214414.9","285146","314707.6"
"Сахалинская область","34777","47140.1","47139.8","63139.2","91729.6","121014.1","166105.4","286273","333581.6","392380.1","487659.5","600247.9","641886.4","671743.6","799165.4","837495.2","762510.3","784503.4","1233164.8","1172226.1","1001689.4","1234355.2"
"Еврейская авт. область","3784","4788.9","6838.5","8564.6","11230.9","14204.2","17976.8","23726.1","23977","25320","31555.9","39467","42743.6","38428.7","41948.1","44554.8","48563.2","55268","54577.8","56847.6","63177.1","78701.6"
"Чукотский авт. округ","3931.4","6944.6","10155.4","13501.1","12357.8","12355.4","15538","20984.1","30558.7","45067.6","38978.1","44757.6","45633.9","44466.9","57751.3","61735.5","72174.1","72873.8","83422.6","94995","119949.4","136152.4"
